id,source,created_at,favorite_count,retweet_count,text
1382889783752540161,Twitter for iPhone,2021-04-16 02:53:11,3436,47,@smosh Yes
1382719137969934341,Twitter for iPhone,2021-04-15 15:35:06,5104,171,All I want in life is JoJo Kraft Mac and Cheese!🧀 Let’s be best friends pleaseeeeee!!!!!! https://t.co/vhw0cobz5D
1378772396719501312,Twitter for iPhone,2021-04-04 18:12:10,7045,133,And My DAD loves you!!! Haha! Thank you!! Tell her I say hi!!💜 https://t.co/17Fhzujho2
1356423301724217346,Twitter for iPhone,2021-02-02 02:04:50,9469,351,💜 @jimmyfallon @FallonTonight https://t.co/vAEDO9NwKk
1353809085276164096,Twitter for iPhone,2021-01-25 20:56:53,6888,205,Woke up to this today on @GMA The amount of support from the world is insane. I love you all. Thank you so much❤️🌈😭 https://t.co/dysr4eWimc
1353808440125083648,Twitter for iPhone,2021-01-25 20:54:19,57885,1976,Me too❤️😭 https://t.co/REBYOzLG7w
1352806064031297538,Twitter for iPhone,2021-01-23 02:31:14,34819,613,I love u toddyyyy!!!❤️ https://t.co/OED3qBY4Kv
1352740733929676800,Twitter for iPhone,2021-01-22 22:11:38,7031,63,@ColleenB123 I love you so much
1352719582977355777,Twitter for iPhone,2021-01-22 20:47:35,1303665,104933,My cousin got me a new shirt https://t.co/DuHhgRto7b
1346556870350147588,Twitter for iPhone,2021-01-05 20:39:10,14041,266,Heyyyyyy!!!!! https://t.co/Oyf2zJzJPM
1345425926796951552,Twitter for iPhone,2021-01-02 17:45:12,4989,128,This. Is. Everything. https://t.co/RqIWsp9rE1
1341858022193319937,Twitter for iPhone,2020-12-23 21:27:37,1918,72,WE HAD SO MUCH FUN AT UNIVERSAL!!!!🎉💙 @universalorlando #LetYourselfWoah 🤟🏼 Thank you so much @universalorlando for spoiling us! https://t.co/Kq3RdlRNaV
1330942036854202368,Twitter Web App,2020-11-23 18:31:23,506,39,I’m playing Among Us today at 4PM PT with @GenG! Don’t forget to come say hi in chat  so I know you’re there! #Samsungmysterygamer
1317608621404925952,Twitter for iPhone,2020-10-17 23:29:09,3397,131,"These teens just walked past my house, they didn’t know I was sitting outside, one said something shady.... and then the other one goes “yeah but hold the drama is a bop tho”. Lol."
1311803967593017344,Twitter for iPhone,2020-10-01 23:03:32,477,44,🎉🥰😭🤩 https://t.co/6Qiz8pyTOX
1311704791970578432,Twitter for iPhone,2020-10-01 16:29:27,385,53,OMG!!! I was nominated for a people’s choice award!!!!🌈💓✨ I’m so excited!!! Click this link to vote for me!! https://t.co/D8D7Z46T2I @peopleschoice THANK YOU!!!!!!
1308664036658094080,Twitter for iPhone,2020-09-23 07:06:34,1311,41,❤️🥺 thank you so much. https://t.co/7tXKiAH6S8
1306740003272179713,Twitter for iPhone,2020-09-17 23:41:09,222,14,@Pretzelmaker OMGGGGG!!!!! Thank you so much!!!! I can’t wait to eat these!!! https://t.co/M1ln63aKNe
1305236572460265479,Streamlabs Twitter,2020-09-13 20:07:03,458,45,FORTNITE!! https://t.co/vvNKPVU6wU
1304563187514331136,Streamlabs Twitter,2020-09-11 23:31:16,354,33,FORTNITE W/Mark https://t.co/vvNKPVU6wU
1304561980817240064,Streamlabs Twitter,2020-09-11 23:26:28,278,26,FORTNITE W/ Nate https://t.co/vvNKPVU6wU
1303803014545911814,Streamlabs Twitter,2020-09-09 21:10:36,349,33,FORTNITE W/ MY BROTHER!!! https://t.co/vvNKPVU6wU
1303753528159035392,Twitter for iPhone,2020-09-09 17:53:58,11,1,@Pretzelmaker YES. I LOVE THEM.
1303523732984602624,Streamlabs Twitter,2020-09-09 02:40:50,643,37,FORTNITE 9/8/2020  https://t.co/vvNKPVU6wU
1303392844133134336,Streamlabs Twitter,2020-09-08 18:00:44,349,25,MORNING GAMES!! https://t.co/vvNKPVU6wU
1303234981653774336,Streamlabs Twitter,2020-09-08 07:33:27,395,28,MIDNIGHT FORTNITE!! https://t.co/vvNKPVU6wU
1303142274029686784,Twitter for iPhone,2020-09-08 01:25:03,672,6,@twomad Hahaha ik.... I tried to okay Minecraft but it wouldn’t work so I switched lol
1303085032018456576,Streamlabs Twitter,2020-09-07 21:37:36,10691,225,FIRST GAME OF MINECRAFT!!! https://t.co/vvNKPVU6wU
